"","State.Name","date","keyword","hits","ratio"
"1","California","2012-01-01","Cyberbullying",47,1
"2","California","2012-02-01","Cyberbullying",59,1
"3","California","2012-03-01","Cyberbullying",55,1
"4","California","2012-04-01","Cyberbullying",43,1
"5","California","2012-05-01","Cyberbullying",55,1
"6","California","2012-06-01","Cyberbullying",44,1
"7","California","2012-07-01","Cyberbullying",24,1
"8","California","2012-08-01","Cyberbullying",28,1
"9","California","2012-09-01","Cyberbullying",55,1
"10","California","2012-10-01","Cyberbullying",63,1
"11","California","2012-11-01","Cyberbullying",58,1
"12","California","2012-12-01","Cyberbullying",43,1
"13","California","2013-01-01","Cyberbullying",42,1
"14","California","2013-02-01","Cyberbullying",43,1
"15","California","2013-03-01","Cyberbullying",52,1
"16","California","2013-04-01","Cyberbullying",63,1
"17","California","2013-05-01","Cyberbullying",62,1
"18","California","2013-06-01","Cyberbullying",40,1
"19","California","2013-07-01","Cyberbullying",20,1
"20","California","2013-08-01","Cyberbullying",35,1
"21","California","2013-09-01","Cyberbullying",48,1
"22","California","2013-10-01","Cyberbullying",74,1
"23","California","2013-11-01","Cyberbullying",72,1
"24","California","2013-12-01","Cyberbullying",62,1
"25","California","2014-01-01","Cyberbullying",48,1
"26","California","2014-02-01","Cyberbullying",56,1
"27","California","2014-03-01","Cyberbullying",52,1
"28","California","2014-04-01","Cyberbullying",64,1
"29","California","2014-05-01","Cyberbullying",68,1
"30","California","2014-06-01","Cyberbullying",48,1
"31","California","2014-07-01","Cyberbullying",27,1
"32","California","2014-08-01","Cyberbullying",29,1
"33","California","2014-09-01","Cyberbullying",65,1
"34","California","2014-10-01","Cyberbullying",82,1
"35","California","2014-11-01","Cyberbullying",69,1
"36","California","2014-12-01","Cyberbullying",49,1
"37","California","2015-01-01","Cyberbullying",49,1
"38","California","2015-02-01","Cyberbullying",69,1
"39","California","2015-03-01","Cyberbullying",83,1
"40","California","2015-04-01","Cyberbullying",61,1
"41","California","2015-05-01","Cyberbullying",72,1
"42","California","2015-06-01","Cyberbullying",31,1
"43","California","2015-07-01","Cyberbullying",31,1
"44","California","2015-08-01","Cyberbullying",34,1
"45","California","2015-09-01","Cyberbullying",49,1
"46","California","2015-10-01","Cyberbullying",49,1
"47","California","2015-11-01","Cyberbullying",65,1
"48","California","2015-12-01","Cyberbullying",55,1
"49","California","2016-01-01","Cyberbullying",32,1
"50","California","2016-02-01","Cyberbullying",46,1
"51","California","2016-03-01","Cyberbullying",66,1
"52","California","2016-04-01","Cyberbullying",82,1
"53","California","2016-05-01","Cyberbullying",75,1
"54","California","2016-06-01","Cyberbullying",38,1
"55","California","2016-07-01","Cyberbullying",19,1
"56","California","2016-08-01","Cyberbullying",22,1
"57","California","2016-09-01","Cyberbullying",52,1
"58","California","2016-10-01","Cyberbullying",51,1
"59","California","2016-11-01","Cyberbullying",52,1
"60","California","2016-12-01","Cyberbullying",50,1
"61","California","2017-01-01","Cyberbullying",30,1
"62","California","2017-02-01","Cyberbullying",41,1
"63","California","2017-03-01","Cyberbullying",58,1
"64","California","2017-04-01","Cyberbullying",47,1
"65","California","2017-05-01","Cyberbullying",55,1
"66","California","2017-06-01","Cyberbullying",32,1
"67","California","2017-07-01","Cyberbullying",13,1
"68","California","2017-08-01","Cyberbullying",33,1
"69","California","2017-09-01","Cyberbullying",53,1
"70","California","2017-10-01","Cyberbullying",44,1
"71","California","2017-11-01","Cyberbullying",44,1
"72","California","2017-12-01","Cyberbullying",34,1
"73","California","2018-01-01","Cyberbullying",34,1
"74","California","2018-02-01","Cyberbullying",42,1
"75","California","2018-03-01","Cyberbullying",50,1
"76","California","2018-04-01","Cyberbullying",51,1
"77","California","2018-05-01","Cyberbullying",53,1
"78","California","2018-06-01","Cyberbullying",25,1
"79","California","2018-07-01","Cyberbullying",21,1
"80","California","2018-08-01","Cyberbullying",22,1
"81","California","2018-09-01","Cyberbullying",39,1
"82","California","2018-10-01","Cyberbullying",41,1
"83","California","2018-11-01","Cyberbullying",26,1
"84","California","2018-12-01","Cyberbullying",37,1
"85","California","2019-01-01","Cyberbullying",26,1
"86","California","2019-02-01","Cyberbullying",37,1
"87","California","2019-03-01","Cyberbullying",44,1
"88","California","2019-04-01","Cyberbullying",47,1
"89","California","2019-05-01","Cyberbullying",43,1
"90","California","2019-06-01","Cyberbullying",18,1
"91","California","2019-07-01","Cyberbullying",17,1
"92","California","2019-08-01","Cyberbullying",27,1
"93","California","2019-09-01","Cyberbullying",28,1
"94","California","2019-10-01","Cyberbullying",30,1
"95","California","2019-11-01","Cyberbullying",36,1
"96","California","2019-12-01","Cyberbullying",30,1
"97","California","2020-01-01","Cyberbullying",30,1
"98","California","2020-02-01","Cyberbullying",38,1
"99","California","2020-03-01","Cyberbullying",30,1
"100","California","2020-04-01","Cyberbullying",24,1
"101","California","2020-05-01","Cyberbullying",25,1
"102","California","2020-06-01","Cyberbullying",22,1
"103","California","2020-07-01","Cyberbullying",15,1
