"","date","sum"
"1","2016-01-01",1222
"2","2016-03-01",1754
"3","2016-07-01",595
"4","2016-09-01",1347
"5","2017-01-01",1232
"6","2017-03-01",1531
"7","2017-07-01",709
"8","2017-09-01",1198
"9","2018-01-01",1447
"10","2018-03-01",2004
"11","2018-07-01",498
"12","2018-09-01",1065
"13","2019-01-01",1163
"14","2019-03-01",1186
"15","2019-07-01",560
"16","2019-09-01",1473
"17","2020-01-01",936
"18","2020-03-01",1121
"19","2020-07-01",612
"20","2020-09-01",770
"21","2021-01-01",646
"22","2021-03-01",968
